net,length_um
_2249_,62.82
_4008_,62.76
clknet_leaf_46_clk,62.7
_1738_,62.66
_1788_,62.48
_2229_,62.02
net98,61.76
clknet_leaf_31_clk,61.4
_3213_,61.36
clknet_leaf_76_clk,61.32
net58,60.62
clknet_leaf_25_clk,60.62
_2327_,60.38
_2240_,60.3
clknet_leaf_13_clk,60.04
_2734_,60.03
_2450_,59.74
_2234_,59.66
_2384_,59.56
_2514_,59.34
net97,59
net131,58.46
clknet_leaf_27_clk,58.42
_1088_,58.4
clknet_leaf_84_clk,58.36
clknet_leaf_62_clk,58.24
net125,57.91
clknet_leaf_71_clk,57.815
clknet_leaf_72_clk,57.78
net117,57.68
_2793_,57.62
net129,57.5
_2398_,57.3
_2483_,57.28
_2843_,57.15
_2150_,57.02
net121,56.54
net126,56.48
net114,56.26
_2231_,56.14
_1516_,55.98
_2117_,55.88
net118,55.46
_2443_,55.34
_1769_,54.88
_1567_,54.64
_1336_,54.46
_2237_,53.67
clknet_leaf_15_clk,53.6
_1133_,53.44
_2315_,53.34
_1123_,53.3
_2300_,53.24
_2605_,52.6
_1191_,52.54
_2343_,52.44
_2480_,52.23
_2534_,52.2
_2371_,52.08
net53,52
net76,51.96
_2166_,51.86
_1777_,51.74
net130,51.52
_1069_,51.19
_2299_,51.06
_2244_,50.83
clknet_leaf_97_clk,50.76
_2895_,50.66
_1200_,50.57
_2273_,50.54
_2694_,50.48
_1897_,50.4
_1043_,50.28
_2442_,50.26
_1860_,50.24
_2606_,50.14
_1141_,49.84
_2570_,49.68
net123,49.68
_1842_,49.58
_2336_,49.58
a3[0],49.56
_1269_,49.5
a3[4],49.4
_2937_,49.32
_2649_,49.1
_2408_,49.095
_2094_,49.08
_2706_,49
clknet_leaf_41_clk,48.76
_1792_,48.68
clknet_leaf_110_clk,48.57
_2863_,48.4
_2100_,48.04
net119,48.04
_2607_,47.97
_1548_,47.7
_2230_,47.6
_2439_,47.56
_1579_,47.46
_2815_,46.58
_1606_,46.54
_2203_,46.54
_2449_,46.4
clknet_leaf_49_clk,46.4
_1853_,46.38
_1231_,45.92
_2541_,45.86
_2893_,45.76
_2659_,45.58
_1976_,45.54
_2722_,45.52
_1904_,45.3
_2484_,45.08
_2901_,45
registers\[0\]\[0\],44.93
_2811_,44.83
net122,44.76
_3212_,44.44
_1533_,44.34
net142,44.04
_2834_,43.78
_2670_,43.68
_2852_,43.675
_1459_,43.54
_2410_,43.52
clknet_leaf_112_clk,43.3
_2652_,43.18
_2639_,43.14
_2960_,43
_2673_,42.9
_2272_,42.64
registers\[3\]\[24\],42.58
_2242_,42.545
_2181_,42.54
_3501_,42.385
_1396_,42.32
_2209_,42.16
net92,42.16
_2691_,42.06
_2409_,42.04
_2675_,41.98
_1817_,41.96
net132,41.8
_2759_,41.7
_2617_,41.62
_1222_,41.54
_2677_,41.54
registers\[21\]\[23\],41.48
net2,41.4
_2415_,41.38
a2[3],41.33
_2509_,41.28
_1510_,41.18
alu_op[1],40.93
_2563_,40.86
_2932_,40.79
_2378_,40.66
_2392_,40.45
_2894_,40.32
_2472_,40.2
_3028_,40.12
registers\[13\]\[31\],40.04
_2104_,40
_2676_,39.98
a3[1],39.9
_2669_,39.84
_2827_,39.84
net74,39.84
registers\[4\]\[4\],39.38
_2725_,39.34
_2682_,39.25
_2737_,39.24
clknet_leaf_58_clk,39.22
_2002_,38.94
registers\[9\]\[15\],38.76
_1301_,38.72
_2727_,38.72
registers\[18\]\[30\],38.61
_2545_,38.6
_2183_,38.46
_1293_,38.44
net1,38.4
registers\[20\]\[11\],38.32
_2767_,38.28
registers\[8\]\[18\],38.2
a2[2],38.18
net134,38.07
_1082_,37.96
_2581_,37.73
_2402_,37.72
_2453_,37.61
_2582_,37.58
net128,37.38
_1107_,37.34
_3396_,37.1
registers\[17\]\[11\],36.9
_1146_,36.8
_2305_,36.76
registers\[23\]\[23\],36.62
_1048_,36.6
_2618_,36.575
registers\[24\]\[21\],36.52
_1033_,36.42
_2232_,36.32
registers\[10\]\[6\],36.31
registers\[8\]\[6\],36.24
_1194_,35.98
_2401_,35.92
_2795_,35.68
_2135_,35.66
_2637_,35.64
clknet_leaf_73_clk,35.64
registers\[19\]\[18\],35.52
_2312_,35.455
registers\[19\]\[26\],35.37
_1245_,35.28
_1261_,35.14
alu_op[0],35.11
a2[4],34.84
_2314_,34.72
_1439_,34.67
_3210_,34.6
_1822_,34.56
_2787_,34.52
_1575_,34.4
_2294_,34.32
_2888_,34.18
_2354_,34.12
_2765_,34
_1491_,33.88
_3173_,33.86
_1515_,33.76
_1766_,33.76
registers\[17\]\[29\],33.76
_2489_,33.5
_1723_,33.46
a3[3],33.28
_2517_,33.26
_2900_,33.205
registers\[17\]\[20\],33.18
_2389_,33.02
net61,33.02
registers\[13\]\[0\],33
net141,32.86
_2586_,32.7
_2538_,32.62
registers\[16\]\[28\],32.62
registers\[14\]\[18\],32.595
_2364_,32.54
registers\[22\]\[7\],32.415
_1157_,32.4
net72,32.4
_2056_,32.38
registers\[8\]\[31\],32.22
registers\[9\]\[22\],32.14
_2936_,32.1
_2565_,32.06
_2504_,32.04
_2205_,32
_2466_,31.98
registers\[4\]\[0\],31.98
_2592_,31.8
registers\[16\]\[11\],31.8
registers\[20\]\[18\],31.74
registers\[4\]\[6\],31.74
_2553_,31.56
registers\[18\]\[2\],31.44
registers\[23\]\[31\],31.4
_2761_,31.3
_2929_,31.28
a1[0],31.28
_1047_,31.24
_2207_,31.02
_2818_,30.955
_1217_,30.88
_2163_,30.78
registers\[10\]\[7\],30.775
_2309_,30.765
_2751_,30.76
registers\[15\]\[6\],30.76
registers\[2\]\[20\],30.74
net54,30.72
registers\[18\]\[4\],30.715
registers\[21\]\[26\],30.66
net56,30.62
registers\[2\]\[27\],30.605
_2051_,30.58
_1453_,30.54
_2804_,30.52
_1596_,30.44
_2740_,30.42
_2494_,30.4
registers\[19\]\[15\],30.34
_2303_,30.32
registers\[1\]\[22\],30.32
_1445_,30.28
_1672_,30.28
registers\[22\]\[30\],30.27
registers\[23\]\[9\],30.26
_1056_,30.16
registers\[16\]\[20\],30.14
_2463_,30.115
_2621_,30.1
registers\[30\]\[3\],30.065
_2709_,30.04
registers\[2\]\[6\],29.91
registers\[0\]\[2\],29.84
registers\[7\]\[1\],29.84
_2186_,29.82
_1102_,29.8
_2263_,29.78
registers\[7\]\[15\],29.72
_1305_,29.7
registers\[17\]\[23\],29.62
registers\[30\]\[6\],29.555
registers\[18\]\[23\],29.535
_2955_,29.52
registers\[8\]\[19\],29.52
_1918_,29.48
_1649_,29.4
registers\[11\]\[23\],29.36
_1178_,29.32
_1514_,29.3
net73,29.26
_1632_,29.24
_2641_,29.16
registers\[25\]\[7\],29.14
_2147_,29.08
registers\[26\]\[4\],29.08
registers\[15\]\[0\],29.05
_1993_,29.04
_2254_,29.04
net42,29.02
registers\[14\]\[6\],29.01
registers\[6\]\[9\],28.97
_2850_,28.96
registers\[19\]\[7\],28.96
registers\[20\]\[23\],28.96
registers\[4\]\[3\],28.94
registers\[14\]\[8\],28.89
registers\[6\]\[6\],28.875
registers\[12\]\[4\],28.86
_1755_,28.84
_2039_,28.82
registers\[25\]\[0\],28.82
registers\[2\]\[22\],28.715
_1408_,28.62
_2239_,28.6
_1750_,28.56
registers\[20\]\[12\],28.51
registers\[6\]\[28\],28.4
_2573_,28.36
registers\[13\]\[1\],28.36
registers\[21\]\[6\],28.36
_3135_,28.34
_2187_,28.26
registers\[13\]\[21\],28.23
_1173_,28.22
registers\[19\]\[25\],28.22
_2071_,28.2
registers\[27\]\[23\],28.19
_2400_,28.125
registers\[4\]\[31\],28.12
_2623_,28.06
_1920_,28.02
registers\[10\]\[31\],27.995
registers\[28\]\[31\],27.98
registers\[0\]\[6\],27.96
_1177_,27.94
_1833_,27.94
registers\[23\]\[11\],27.92
_2945_,27.9
_1458_,27.86
registers\[16\]\[1\],27.82
_1497_,27.8
registers\[26\]\[7\],27.755
registers\[28\]\[6\],27.74
registers\[31\]\[3\],27.74
clknet_leaf_9_clk,27.74
_3610_,27.72
_2703_,27.7
_2005_,27.68
_1055_,27.64
registers\[24\]\[0\],27.6
registers\[6\]\[22\],27.56
_2668_,27.54
_2907_,27.54
_2194_,27.48
_2235_,27.48
_2018_,27.42
_2134_,27.42
_2653_,27.32
registers\[11\]\[25\],27.32
registers\[3\]\[20\],27.29
registers\[5\]\[22\],27.28
registers\[7\]\[25\],27.22
registers\[18\]\[1\],27.195
registers\[14\]\[17\],27.19
_2788_,27.16
registers\[2\]\[8\],27.15
registers\[19\]\[3\],27.14
_2264_,27.12
registers\[0\]\[25\],27.12
_1890_,27.1
registers\[21\]\[13\],27.1
_1237_,27.06
_1429_,27
_3286_,27
registers\[7\]\[0\],27
registers\[2\]\[29\],26.99
_1693_,26.98
_2638_,26.98
registers\[0\]\[20\],26.98
_1155_,26.92
_2762_,26.9
registers\[7\]\[17\],26.84
registers\[30\]\[8\],26.835
registers\[21\]\[11\],26.78
registers\[9\]\[18\],26.76
_1710_,26.74
registers\[28\]\[23\],26.72
registers\[11\]\[17\],26.69
registers\[13\]\[12\],26.68
_1559_,26.62
_2087_,26.62
registers\[10\]\[8\],26.575
_2512_,26.56
_3066_,26.56
registers\[16\]\[29\],26.48
a3[2],26.46
_1734_,26.42
_2292_,26.42
registers\[12\]\[6\],26.36
registers\[16\]\[17\],26.32
registers\[10\]\[3\],26.265
registers\[25\]\[24\],26.26
_1667_,26.22
_2075_,26.22
_1426_,26.2
_1963_,26.2
_1086_,26.18
registers\[4\]\[1\],26.18
registers\[24\]\[7\],26.14
_2716_,26.12
registers\[31\]\[9\],26.1
registers\[14\]\[31\],26.085
_1597_,26.08
registers\[3\]\[13\],26.08
_2033_,26.06
registers\[27\]\[8\],26.04
registers\[31\]\[1\],26
_2417_,25.96
_2858_,25.88
registers\[12\]\[16\],25.84
_1864_,25.82
_1105_,25.8
registers\[4\]\[13\],25.8
_2009_,25.78
_2927_,25.78
_2274_,25.76
registers\[2\]\[18\],25.73
registers\[13\]\[20\],25.72
registers\[19\]\[24\],25.7
_1593_,25.68
registers\[17\]\[30\],25.66
registers\[14\]\[9\],25.655
clknet_leaf_3_clk,25.64
registers\[7\]\[11\],25.6
registers\[30\]\[21\],25.585
_2497_,25.54
registers\[19\]\[0\],25.54
_1698_,25.5
_2446_,25.5
registers\[1\]\[6\],25.48
registers\[29\]\[24\],25.48
registers\[3\]\[22\],25.48
_1805_,25.46
registers\[14\]\[16\],25.415
_1520_,25.36
registers\[13\]\[29\],25.36
_1715_,25.34
registers\[20\]\[13\],25.32
registers\[2\]\[23\],25.255
registers\[19\]\[11\],25.2
_1277_,25.18
registers\[19\]\[14\],25.18
registers\[30\]\[12\],25.15
registers\[29\]\[19\],25.14
_1772_,25.06
_2869_,25.06
registers\[23\]\[28\],25.04
registers\[27\]\[25\],25.04
_2188_,25.02
registers\[16\]\[6\],25.02
registers\[26\]\[2\],25.015
registers\[27\]\[30\],24.98
_2397_,24.96
registers\[5\]\[8\],24.9
_2578_,24.88
registers\[4\]\[9\],24.86
registers\[7\]\[5\],24.86
_2296_,24.81
registers\[26\]\[1\],24.79
registers\[26\]\[6\],24.79
registers\[10\]\[24\],24.785
registers\[21\]\[7\],24.76
_1129_,24.72
_3755_,24.72
registers\[20\]\[22\],24.72
registers\[23\]\[8\],24.7
_2537_,24.66
_2636_,24.64
_2555_,24.62
_2832_,24.6
registers\[15\]\[18\],24.6
registers\[6\]\[11\],24.595
registers\[0\]\[4\],24.58
registers\[16\]\[3\],24.48
registers\[4\]\[18\],24.46
registers\[12\]\[31\],24.42
registers\[16\]\[14\],24.4
registers\[9\]\[24\],24.39
registers\[5\]\[9\],24.38
registers\[10\]\[2\],24.375
registers\[26\]\[28\],24.375
registers\[13\]\[14\],24.34
registers\[6\]\[4\],24.335
registers\[5\]\[0\],24.26
_2184_,24.24
_2257_,24.23
_2491_,24.22
registers\[8\]\[5\],24.16
registers\[0\]\[3\],24.14
registers\[2\]\[17\],24.09
registers\[3\]\[2\],24.04
registers\[2\]\[12\],24.01
registers\[10\]\[26\],23.96
_1718_,23.92
registers\[17\]\[31\],23.92
registers\[4\]\[30\],23.9
_2470_,23.88
_2172_,23.84
registers\[1\]\[10\],23.84
registers\[5\]\[26\],23.84
_1376_,23.78
registers\[3\]\[25\],23.78
registers\[25\]\[28\],23.76
registers\[19\]\[4\],23.75
_2158_,23.74
registers\[6\]\[16\],23.71
registers\[14\]\[20\],23.69
_2444_,23.66
registers\[15\]\[22\],23.62
