net,length_um
_0571_,14.48
_0769_,14.36
_0514_,14.34
_0598_,14.32
_0742_,14.32
_1422_,14.32
_0639_,14.3
_0637_,14.26
_1133_,14.26
_0949_,14.22
_1322_,14.22
display.counter\[10\],14.2
_0839_,14.16
_0552_,14.14
reg_file.registers\[11\]\[28\],14.1
reg_file.registers\[10\]\[26\],14.02
_0340_,14
imem.address\[14\],13.98
_1242_,13.96
imem.address\[15\],13.875
_1328_,13.86
_0542_,13.84
_0711_,13.84
_0991_,13.84
_0619_,13.82
reg_file.registers\[15\]\[27\],13.7
reg_file.registers\[11\]\[31\],13.66
_0667_,13.64
_0700_,13.64
reg_file.registers\[11\]\[29\],13.64
_0740_,13.63
_0497_,13.6
_0830_,13.5
_0691_,13.42
_1040_,13.42
_1213_,13.42
_0692_,13.38
_0899_,13.36
_0469_,13.26
_0778_,13.26
_0762_,13.24
net32,13.24
_1022_,13.2
_0844_,13.185
_1129_,13.18
_0928_,13.15
_1435_,13.1
_1111_,13.08
_1284_,13.08
_0504_,13.04
_1198_,12.96
_1152_,12.925
_0525_,12.84
_1319_,12.76
_0755_,12.745
_0705_,12.68
_1333_,12.56
_1409_,12.56
_0823_,12.54
_0947_,12.54
_0766_,12.5
_1168_,12.5
_1257_,12.48
net10,12.48
_1193_,12.39
reg_file.registers\[11\]\[0\],12.39
_0793_,12.34
_1428_,12.32
_0370_,12.18
_0953_,12.12
net18,12.12
_1342_,12.1
reg_file.registers\[15\]\[1\],12.06
_0845_,11.96
reg_file.registers\[15\]\[29\],11.88
_0402_,11.84
_1327_,11.84
_1220_,11.82
imem.address\[11\],11.81
_0646_,11.8
_1258_,11.8
_0213_,11.66
_1278_,11.66
_1325_,11.56
_1406_,11.52
_0736_,11.46
_0890_,11.46
_1338_,11.46
reg_file.registers\[5\]\[23\],11.42
_0526_,11.32
imem.address\[20\],11.32
_1341_,11.29
_1218_,11.28
_1421_,11.28
_0699_,11.24
display.counter\[14\],11.24
_1141_,11.18
_1052_,11.16
_0397_,11.12
_0643_,11.1
_1030_,11.08
_0348_,11.02
_0994_,11.02
reg_file.registers\[15\]\[5\],10.96
_0808_,10.92
reg_file.registers\[5\]\[17\],10.92
_1347_,10.88
_1415_,10.88
_1049_,10.86
reg_file.registers\[5\]\[20\],10.86
display.counter\[11\],10.84
display.counter\[9\],10.82
_0562_,10.78
_0568_,10.74
_0787_,10.71
_0908_,10.68
reg_file.registers\[5\]\[5\],10.675
_1064_,10.67
_0745_,10.66
_1323_,10.64
_0675_,10.62
_0951_,10.6
_0377_,10.58
imem.address\[18\],10.54
reg_file.registers\[5\]\[14\],10.54
_0535_,10.52
_0704_,10.5
_1051_,10.5
_0948_,10.46
_0473_,10.42
reg_file.registers\[2\]\[31\],10.42
_1169_,10.345
_1273_,10.34
_0588_,10.32
_0815_,10.3
_0548_,10.28
_0714_,10.28
_1302_,10.28
_1224_,10.24
_0746_,10.2
_0956_,10.2
_1036_,10.16
_1230_,10.1
_0586_,10.08
imem.address\[24\],10.06
_1227_,10.04
_0817_,10.01
_1035_,10
_1350_,10
_1008_,9.96
_1473_,9.94
_0670_,9.87
_0546_,9.84
_0616_,9.84
_1108_,9.82
_1119_,9.82
_1448_,9.82
reg_file.registers\[15\]\[16\],9.82
_0998_,9.78
_1167_,9.72
_0223_,9.7
_0905_,9.7
reg_file.registers\[2\]\[0\],9.7
_0946_,9.68
reg_file.registers\[2\]\[2\],9.665
_0969_,9.66
reg_file.registers\[15\]\[22\],9.66
_0682_,9.62
_0805_,9.58
reg_file.registers\[15\]\[30\],9.58
_0022_,9.545
_0262_,9.54
_0203_,9.52
_0342_,9.52
_0629_,9.48
_1205_,9.48
_0851_,9.46
reg_file.registers\[15\]\[11\],9.46
reg_file.registers\[5\]\[13\],9.445
_1267_,9.44
net24,9.44
_0204_,9.4
reg_file.registers\[10\]\[28\],9.34
_0352_,9.32
reg_file.registers\[15\]\[7\],9.32
imem.address\[21\],9.28
_0777_,9.24
reg_file.registers\[5\]\[1\],9.22
_0658_,9.16
_1447_,9.16
_0346_,9.14
display.counter\[18\],9.12
_0222_,9.1
_1340_,9.08
_0255_,9.06
_0464_,9.04
_1247_,9.02
reg_file.registers\[15\]\[28\],9.02
imem.address\[29\],9
_0797_,8.98
_0515_,8.94
_0848_,8.94
reg_file.registers\[5\]\[31\],8.92
_0781_,8.9
_0396_,8.86
_1134_,8.855
_0491_,8.84
_0697_,8.82
_0820_,8.82
reg_file.registers\[15\]\[13\],8.82
reg_file.registers\[5\]\[21\],8.82
display.counter\[5\],8.76
_0516_,8.7
_0245_,8.62
_0803_,8.62
_1392_,8.62
_0676_,8.58
_1239_,8.58
_1408_,8.58
_0060_,8.56
_0822_,8.56
_1118_,8.44
reg_file.registers\[11\]\[25\],8.44
reg_file.registers\[5\]\[15\],8.38
_1291_,8.36
_0592_,8.32
_0792_,8.24
_0229_,8.16
_0280_,8.16
_1420_,8.14
reg_file.registers\[5\]\[7\],8.14
_1289_,8.12
_0337_,8.1
_0350_,8.1
_1298_,8.1
_1318_,8.08
seg[1],8.03
_0430_,8.02
net22,8.02
_0421_,7.98
_0595_,7.98
_0943_,7.98
net33,7.98
_1166_,7.96
_0077_,7.94
_0419_,7.94
_0695_,7.92
_1050_,7.9
_0202_,7.885
_0119_,7.86
_0343_,7.86
_0179_,7.83
_0000_,7.805
_0283_,7.8
reg_file.registers\[5\]\[25\],7.785
_0411_,7.78
_0550_,7.78
imem.address\[27\],7.78
reg_file.registers\[5\]\[24\],7.78
_0669_,7.74
reg_file.registers\[15\]\[8\],7.74
_0244_,7.72
reg_file.registers\[5\]\[2\],7.7
_1425_,7.68
_0850_,7.66
_1310_,7.66
_0374_,7.64
_1353_,7.64
_0849_,7.6
net5,7.6
_0424_,7.56
_1303_,7.56
_0753_,7.54
_1132_,7.54
_0795_,7.52
_1437_,7.52
net40,7.52
_1068_,7.515
_0015_,7.485
_1045_,7.48
_1200_,7.46
_1215_,7.46
_0465_,7.42
_0999_,7.42
prev_control,7.4
_0019_,7.34
_0816_,7.32
_0758_,7.295
_0611_,7.28
_1411_,7.28
_0216_,7.22
_1259_,7.22
_0440_,7.18
_1053_,7.18
_1398_,7.18
