net,length_um
_0511_,6.94
_1269_,6.92
_0810_,6.9
_1433_,6.88
_1636_,6.88
reg_file.registers\[2\]\[8\],6.86
_0184_,6.84
_0904_,6.82
_0243_,6.76
_0427_,6.76
_1266_,6.76
_0249_,6.72
_0331_,6.72
_0352_,6.72
_0499_,6.72
_1229_,6.72
_0406_,6.685
_0413_,6.685
_0782_,6.66
reg_file.registers\[15\]\[11\],6.645
_0222_,6.64
_0823_,6.64
_0829_,6.64
_0968_,6.64
_1489_,6.64
_1504_,6.64
_0899_,6.6
_1316_,6.6
_1335_,6.6
_0583_,6.58
net18,6.56
_1543_,6.54
_0636_,6.52
_0858_,6.52
_1350_,6.5
_1154_,6.44
_1220_,6.44
_1536_,6.4
imem.address\[31\],6.4
_0382_,6.38
_1169_,6.38
_1226_,6.38
reg_file.registers\[5\]\[25\],6.38
_0085_,6.37
_0508_,6.36
_1580_,6.36
_1699_,6.36
imem.address\[24\],6.34
_0630_,6.32
_0684_,6.32
_0851_,6.32
_0915_,6.32
_0235_,6.3
_0515_,6.3
_0516_,6.3
_0822_,6.3
_1158_,6.3
_1252_,6.3
_1326_,6.3
_1432_,6.28
_0231_,6.26
_0773_,6.26
_0852_,6.26
_1142_,6.26
_1404_,6.26
_0445_,6.2
_0885_,6.2
_0090_,6.18
_0510_,6.18
_0533_,6.18
_0650_,6.18
_1120_,6.18
reg_file.registers\[15\]\[5\],6.18
_0019_,6.165
_0633_,6.16
reg_file.registers\[15\]\[23\],6.145
_0502_,6.14
_0521_,6.14
_1001_,6.14
_1494_,6.14
display.counter\[9\],6.14
imem.address\[29\],6.14
_0018_,6.135
_1011_,6.06
reg_file.registers\[2\]\[16\],6.06
_0059_,6.02
_0147_,6.02
_0333_,6.02
_0046_,5.99
_0166_,5.99
_1171_,5.98
_0025_,5.965
_1307_,5.96
_0055_,5.95
_0615_,5.94
_1654_,5.94
reg_file.registers\[15\]\[25\],5.94
_0220_,5.92
_0323_,5.92
_0379_,5.92
reg_file.registers\[5\]\[23\],5.9
_0002_,5.895
_1402_,5.86
_0340_,5.84
_0425_,5.84
_0437_,5.84
_0876_,5.84
_1172_,5.84
_1368_,5.84
_1379_,5.84
_1485_,5.84
_0185_,5.82
net51,5.82
_0439_,5.8
_0512_,5.8
_0733_,5.8
_0748_,5.8
_0980_,5.8
_1185_,5.8
_0432_,5.74
_0570_,5.74
_0433_,5.72
_0435_,5.72
_0722_,5.72
_1020_,5.72
_1035_,5.72
_1177_,5.72
_1273_,5.72
_1501_,5.72
_1671_,5.72
display.counter\[11\],5.72
net23,5.72
_1594_,5.7
_0443_,5.68
_0501_,5.68
_0513_,5.68
_0525_,5.68
_0865_,5.68
_1367_,5.68
_1503_,5.68
_1633_,5.68
_1720_,5.68
_1722_,5.68
_0334_,5.645
_1242_,5.62
_1263_,5.62
_0985_,5.6
_1100_,5.58
_0029_,5.56
_0034_,5.56
_0122_,5.56
_0145_,5.56
_0201_,5.56
_0228_,5.56
_0284_,5.5
_0376_,5.5
_1470_,5.5
_0128_,5.49
reg_file.registers\[5\]\[15\],5.49
_0226_,5.48
_0766_,5.48
_1328_,5.48
_0091_,5.46
_0779_,5.46
_0488_,5.4
reg_file.registers\[2\]\[14\],5.4
_0208_,5.39
_0234_,5.38
